1,576517.784877788280000,613845.121026146230000,B
2,569656.545776814220000,619764.339640171270000,A
3,573731.931334767490000,613266.901161033660000,B
4,576580.900424677880000,621127.550113678910000,B
5,572471.633483912800000,621607.730661438780000,A
6,570739.513585034760000,619511.079464881680000,A
7,578121.589488916100000,614428.144614952620000,A
8,573261.298201452940000,617878.592359009200000,B
9,579344.881789799780000,617348.382088645360000,A
10,574164.042823392900000,619347.358807951210000,B
11,576711.523789361120000,622209.431050971150000,B
12,575355.915191181000000,614892.970967175440000,A
13,569387.825774170460000,617583.292043614200000,A
14,581297.253430336710000,615642.028682560660000,B
15,580779.603819798680000,611659.960603372190000,B
